dmu_id,farmer_id,year,variety,operation_label,factor_group,active_substance,product,dose_kg_ha,covered_area_ha,dmu_area_ha,dmu_production_t,active_substance_kg_total,active_substance_kg_ha,active_substance_kg_tonne
C1_2022,C1,2022,Ronaldo,fungicide,fungicide,Chlorothalonil,Splash,0.59,15.48,45.92,203.64180000000002,9.1332,0.19889372822299653,0.044849338397126716
C1_2022,C1,2022,Corimbo,fungicide,fungicide,Chlorothalonil,Splash,0.59,1.5,45.92,203.64180000000002,0.885,0.01927264808362369,0.004345866123752588
C1_2022,C1,2022,Sprint,fungicide,fungicide,Chlorothalonil,Splash,0.59,18.3,45.92,203.64180000000002,10.797,0.23512630662020906,0.053019566709781585
C1_2022,C1,2022,Leonardo,fungicide,fungicide,Chlorothalonil,Splash,0.59,1.6,45.92,203.64180000000002,0.944,0.020557491289198603,0.0046355905320027615
C1_2022,C1,2022,JSendra,fungicide,fungicide,Chlorothalonil,Splash,0.59,4.3,45.92,203.64180000000002,2.537,0.05524825783972125,0.01245814955475742
C1_2022,C1,2022,Ronaldo,herbicide,herbicide,Florpyrauxifen-benzyl,Loyant,0.03,15.48,45.92,203.64180000000002,0.4644,0.010113240418118466,0.002280474833752206
C1_2022,C1,2022,Ronaldo,herbicide,herbicide,Profoxydim,Profistar,0.15,15.48,45.92,203.64180000000002,2.322,0.05056620209059234,0.01140237416876103
C1_2022,C1,2022,Ronaldo,herbicide,herbicide,Bispyribac-sodium,Nominee,0.03,15.48,45.92,203.64180000000002,0.4644,0.010113240418118466,0.002280474833752206
C1_2022,C1,2022,Ronaldo,herbicide,herbicide,Azimsulfuron,Gulliver,0.04,15.48,45.92,203.64180000000002,0.6192000000000001,0.01348432055749129,0.003040633111669608
C1_2022,C1,2022,Corimbo,herbicide,herbicide,Florpyrauxifen-benzyl,Loyant,0.03,1.5,45.92,203.64180000000002,0.045,0.000979965156794425,0.0002209762435806401
C1_2022,C1,2022,Corimbo,herbicide,herbicide,Profoxydim,Profistar,0.15,1.5,45.92,203.64180000000002,0.22499999999999998,0.004899825783972125,0.0011048812179032003
C1_2022,C1,2022,Corimbo,herbicide,herbicide,Bispyribac-sodium,Nominee,0.03,1.5,45.92,203.64180000000002,0.045,0.000979965156794425,0.0002209762435806401
C1_2022,C1,2022,Sprint,herbicide,herbicide,Florpyrauxifen-benzyl,Loyant,0.03,18.3,45.92,203.64180000000002,0.549,0.011955574912891986,0.0026959101716838097
C1_2022,C1,2022,Sprint,herbicide,herbicide,Profoxydim,Profistar,0.15,18.3,45.92,203.64180000000002,2.745,0.05977787456445993,0.013479550858419048
C1_2022,C1,2022,Sprint,herbicide,herbicide,Bispyribac-sodium,Nominee,0.03,18.3,45.92,203.64180000000002,0.549,0.011955574912891986,0.0026959101716838097
C1_2022,C1,2022,Sprint,herbicide,herbicide,Azimsulfuron,Gulliver,0.04,18.3,45.92,203.64180000000002,0.7320000000000001,0.01594076655052265,0.0035945468955784128
C1_2022,C1,2022,Leonardo,herbicide,herbicide,Florpyrauxifen-benzyl,Loyant,0.03,1.6,45.92,203.64180000000002,0.048,0.0010452961672473868,0.00023570799315268277
